twitter,domain,name,type,gender
GaryValenciano1,garyv.com,GARY VALENCIANO,celebrity,M
KendraWilkinson,,Kendra Wilkinson,celebrity,F
4everBrandy,,The Next Brandy,celebrity,F
GordonRamsay,gordonramsay.com,Gordon Ramsay,celebrity,M
henrygayle,,Chris Gayle,celebrity,M
SeppBlatter,,Joseph S Blatter,celebrity,M
McIlroyRory,rorymcilroy.com,Rory Mcilroy,celebrity,M
RealPaulWalker,paulwalkerfoundation.org,Paul Walker,celebrity,M
IanMcKellen,McKellen.com,Ian McKellen,celebrity,M
XianLimm,xianlimm.com,XIAN LIM,celebrity,M
DeepakChopra,deepakchopra.com,Deepak Chopra,celebrity,M
kingsthings,ora.tv,Larry King,celebrity,M
Anggun_Cipta,anggun.com,Anggun Official,celebrity,F
icecube,icecube.com,Ice Cube,celebrity,M
LaraDutta,mylaradutta.com,Lara Dutta Bhupathi,celebrity,F
DAVID_LYNCH,davidlynch.com,David Lynch,celebrity,M
jeremypiven,imdb.com,Jeremy Piven,celebrity,M
FifthHarmony,smarturl.it,Fifth Harmony,celebrity,F
feliciaday,feliciaday.com,Felicia Day,celebrity,F
ShraddhaKapoor,,Shraddha Kapoor,celebrity,F
biz,jelly.co,Biz Stone,celebrity,M
TomDaley1994,tomdaley.tv,Tom Daley,celebrity,M
chriscolfer,thelandofstories.com,Chris Colfer,celebrity,M
TheRealAC3,,Ashley Cole,celebrity,M
IAmJericho,chris-jericho.org,Chris Jericho,celebrity,M
JackJohnson,itun.es,Jack Johnson,celebrity,M
JoeyGraceffa,youtube.com,Joey Graceffa,celebrity,M
Joe_Sugg,,Joe Sugg,celebrity,M
aaronpaul_8,slashfilm.com,Aaron Paul,celebrity,M
MannyPacquiaoTR,,Manny Pacquiao,celebrity,M
MsLaurenLondon,,Lauren London,celebrity,F
PaulMcCartney,PaulMcCartney.com,Paul McCartney,celebrity,M
RossLynch,R5rocks.com,Ross Lynch,celebrity,M
TheMandyMoore,,Mandy Moore,celebrity,F
adamlambert,adamofficial.com,ADAM LAMBERT,celebrity,M
anandmahindra,mahindra.com,anand mahindra,celebrity,M
BillNye,billnyebooks.com,Bill Nye,celebrity,M
greysonchance,greyson-official.com,Greyson Chance,celebrity,M
JimGaffigan,jimgaffigan.com,Jim Gaffigan,celebrity,M
DENISE_RICHARDS,deniserichards.com,Denise Richards,celebrity,F
stephenasmith,stephena.com,Stephen A Smith,celebrity,M
RichardHammond,thehamsterscage.co.uk,Richard Hammond,celebrity,M
iqbaale,,IqbaalDhiafakhri-IDR,celebrity,M
ThisisDavina,thisisdavina.com,Davina McCall,celebrity,F
D_Ospina1,,David Ospina,celebrity,M
xtianbautista,christianbautistaonline.com,Christian Bautista,celebrity,M
carterreynolds,youtube.com,Carter Reynolds,celebrity,M
KyrieIrving,,Kyrie Irving,celebrity,M
iloveruffag,iloveruffag.com,Ruffa Gutierrez,celebrity,F
jccaylen,kianandjctour.com,☁︎jc,celebrity,M
Bourdain,,Anthony Bourdain,celebrity,M
RachelZoe,thezoereport.com,Rachel Zoe,celebrity,F
djkhaled,,DJ KHALED,celebrity,M
jasonsegel,,Jason Segel,celebrity,M
robbiewilliams,robbiewilliams.com,Robbie Williams,celebrity,M
MrJamesMay,,James May,celebrity,M
ImZaheer,zaheerkhans.com,zaheer khan,celebrity,M
lottietommo,lottietomlinson.com,Lottie Tomlinson,celebrity,F
JackHarries,jacksgap.com,Jackson Harries,celebrity,M
HeffronDrive,itun.es,Kendall Schmidt,celebrity,M
anakarylle,ph.omg.yahoo.com,karylletatlonghari,celebrity,F
JeremyBieber,shots.me,Jeremy Bieber,celebrity,M
NathanKress,imdb.com,Nathan Kress,celebrity,M
HARDWELL,,Hardwell,celebrity,M
Charlottegshore,officialcharlottecrosby.com,Charlotte Crosby,celebrity,F
S1dharthM,,Sidharth Malhotra,celebrity,M
twhiddleston,,Tom Hiddleston,celebrity,M
Actor_Rajini,,Rajinikanth,celebrity,M
CMPunk,cmpunk.com,Coach,celebrity,M
MarcusButler,youtube.com,Marcus Butler,celebrity,M
pattonoswalt,pattonoswalt.com,Patton Oswalt,celebrity,M
TripleH,,Triple H,celebrity,M
JodiStaMaria,,Jodi Sta.Maria,celebrity,F
AudrinaPatridge,audrinapatridge.com,Audrina Patridge,celebrity,F
siyovushdustov,siyovushdustov.com,Siyovush Dustov,celebrity,M
KattPackAllDay,,Katt Williams,celebrity,M
ShaneWarne,shanewarne.com,Shane Warne,celebrity,M
Dynamomagician,,Dynamo,celebrity,M
FrencHMonTanA,frenchmontanamusic.com,French Montana,celebrity,M
KeithUrban,keithurban.net,Keith Urban,celebrity,M
MikeVick,fanduel.com,Mike Vick,celebrity,M
woodyinho,marcoreus.de,Marco Reus,celebrity,M
bobsaget,bobsaget.com,bob saget,celebrity,M
TomFelton,,Tom Felton,celebrity,M
MrsSOsbourne,sharonosbourne.com,Sharon Osbourne,celebrity,F
MartinGarrix,martingarrix.com,MARTIN GARRIX,celebrity,M
SteveNash,,Steve Nash,celebrity,M
mariashriver,mariashriver.com,Maria Shriver,celebrity,F
esmuellert_,es-muellert-wieder.de,Thomas Müller,celebrity,M
VincentKompany,,Vincent Kompany,celebrity,M
williebosshog,,Willie Robertson,celebrity,M
Stromae,stromae.net,Stromae,celebrity,M
neilhimself,neilgaiman.com,Neil Gaiman,celebrity,M
DavidSpade,,David Spade,celebrity,M
PaulaAbdul,PaulaAbdul.com,Paula Abdul,celebrity,F
WWEDanielBryan,,Daniel Bryan,celebrity,M
drose,drosehoops.com,Derrick Rose,celebrity,M
RebelWilson,,Rebel Wilson,celebrity,F
michaelbuble,michaelbuble.com,Michael Bublé,celebrity,M
robertmarion,,Robi Domingo,celebrity,M
bonnovanderputt,,bonno van der putten,celebrity,M
luke_brooks,m.youtube.com,Luke Brooks,celebrity,M
depechemode,depechemode.com,Depeche Mode,celebrity,M
amyschumer,amyschumer.com,Amy Schumer,celebrity,F
CraigyFerg,,Craig Ferguson,celebrity,M
ayushmannk,ayushmannk.tumblr.com,Ayushmann Khurrana,celebrity,M
BIRDMAN5STAR,stunnalife.com,BIRDMAN,celebrity,M
kylieminogue,Kylie.com,kylie minogue,celebrity,F
Zedd,smarturl.it,Zedd,celebrity,M
SleepintheGardn,katuriankaturiankaturian.tumblr.com,Troian,celebrity,F
therealjuicyj,thejuicyj.com,juicy j,celebrity,M
